الميزة	الحالة
الذهاب إلى آية, تحديد رقم آية من السورة للانتقال إليه بشكل مباشر.	تم
في مشغل السور, الذهاب إلى سورة برقمها.	
في مشغل السور, حروف e r t i v c تنطق حتى في وضع الفلترة, تم حل المشكلة سابقا ورجعت مع نقل الاختصارات لكلاس منفصل.	
في مشغل السور, اختيار نتيجة فارغة يعمل كراش.	
في مشغل السور, مفاتيح الوسائط مو شغالة, كانت شغالة قبل نقل المفاتيح لكلاس منفصل.	
في إزالة التثبيت, نقل خيار إزالة الإعدادات لمربع تحديد في النافذة الأولى لأن ظهور نافذة ثانية يمنع التركيز عليها مع قارئ الشاشة.	تم
في التفاسير, حفظ المفسر الحالي.	تم
في التفاسير, عرض اسم المفسر الحالي في النافذة.	تم
في التفاسير, نسخ اسم المفسر مع رقم الآية واسم السورة.	تم
في البحث, حل مشكلة تنفيذ البحث المتقدم حتى بعد تعطيله.	تم
في العرض المخصص, يجب حل مشكلة العلامات والبحث.	تم
في العرض المخصص, تعطيل الذهاب إلى وقلب الصفحات تلقائيًا.	تم
في العرض المخصص, تمرير أكسسبل نيم للأزرار والخيارات باسم التالي والسابق والذهاب إلى.	
في معلومات الآية, يجب إضافة موضع الآية ضمن الجزء.	
في معلومات الآية والسورة, تعطيل تنسيق HTML.	تم
في إضافة علامة, عرض رسالة خطأ إذا تمت إضافة علامة بدون اسم.	تم
في العلامات, تعطيل الخيارات إذا لم يتم تحديد علامة.	تم
في اختيار كروت الصوت, ترجمة ديفولت للافتراضي وتعطيل خيار No sound.	
في اختيار مستوى السجل, ترتيب المستويات من الأقل للأعلى, Error يكون الأول وليس الأخير.	تم
في الأوضاع, تسمية الذهاب إلى بحسب الوضع.	تم
في المعلومات, مراجعة المعلومات لتضمين الأرقام كلها بشكل صحيح.	
في المعلومات, مراجعة الاختصارات.	تم
في نطق الآية المشغلة, تخزين اسم السورة للاحتفاظ به عند تغيير الموضع.	
في مشغل السور, حل مشكلة اختفاء النافذة عن طريق البحث في كلاس النافذة أو إظهار نافذة المشغل فوق نافذة البيان.	
في الأذكار, إعادة تصميم الأذكار وتضمين خيارات الإيقاف المؤقت.	
في السجل, تضمين كروت الصوت مع فتح البرنامج.	
في كروت الصوت, مراجعة عمل الميزة مع تغيير كروت الصوت أو تعطيلها.	
في تشغيل البسملة, مراجعة ميزة قائمة التشغيل لتشغيل ملفين بشكل متتالي.	
في علامات الوقف, مراجعة العلامات الأساسية وتضمين عدة خيارات.	تم
التنزيل, تضمين ميزة تنزيل الآيات والسور والتشغيل بدون إنترنت.	
في الدليل, ترقيم جدول المحتوى بحسب أرقام العناصر بشكل فرعي.	
في الدليل, إنشاء سكربت جديد أكثر مرونة مع فتح الروابط الخارجية في تبويبة جديدة.	
في البحث, حفظ آخر عملية بحث حتى بعد إعادة تشغيل البرنامج.	تم
في نافذة الوصول السريع والعرض المخصص, إضافة أزرار للتبديل بين النافذتين.	
في علامات الوقف وتنسيق النص, تضمين علامة ربع الحزب ومحاولة استبدالها بعلامات متوافقة.	
في قائمة التفضيلات, إضافة خيارات للقارئ والإجراء بعد الاستماع.	
في مشغل السور, إضافة إعداد للإجراء بعد نهاية السورة أو مبدئيًا ربطه بنفس الإعداد للآيات.	
في البحث والوصول السريع, الاعتماد على قاعدة البيانات بدل ملف Json.	تم
في المعلومات ووضع الفلترة, الاحتفاظ بأسماء ثابتة للسور بدون كلمة سورة حتى مع استخدام الخط العثماني.	
في فتح السجل, عدم إنشائه إن لم يكن موجود.	تم
في مشغل السور, إضافة خيار لمعلومات السورة.	
في العلامات, إضافة زر لحذف كل العلامات.	تم
